MSA,Month,Temp
"San Francisco-Oakland-Berkeley, CA",3,55.5
"San Francisco-Oakland-Berkeley, CA",4,56.5
"San Francisco-Oakland-Berkeley, CA",5,57.5
"San Francisco-Oakland-Berkeley, CA",6,60
"San Francisco-Oakland-Berkeley, CA",7,60.5
"San Francisco-Oakland-Berkeley, CA",8,61.5
"San Francisco-Oakland-Berkeley, CA",9,63.5
"San Francisco-Oakland-Berkeley, CA",10,62.5
"San Francisco-Oakland-Berkeley, CA",11,57.5
"San Francisco-Oakland-Berkeley, CA",12,52
"Seattle-Tacoma-Bellevue, WA",1,41
"Seattle-Tacoma-Bellevue, WA",2,43.5
"Seattle-Tacoma-Bellevue, WA",3,46.5
"Seattle-Tacoma-Bellevue, WA",4,50
"Seattle-Tacoma-Bellevue, WA",5,56
"Seattle-Tacoma-Bellevue, WA",6,60.5
"Seattle-Tacoma-Bellevue, WA",7,64.5
"Seattle-Tacoma-Bellevue, WA",8,65
"Seattle-Tacoma-Bellevue, WA",9,60.5
"Seattle-Tacoma-Bellevue, WA",10,52.5
"Seattle-Tacoma-Bellevue, WA",11,45
"Seattle-Tacoma-Bellevue, WA",12,40.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,34
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2,37
"Washington-Arlington-Alexandria, DC-VA-MD-WV",3,45.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV",4,55.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV",5,65
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6,74
"Washington-Arlington-Alexandria, DC-VA-MD-WV",7,78.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV",8,76.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV",9,70
"Washington-Arlington-Alexandria, DC-VA-MD-WV",10,57.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,48
"Washington-Arlington-Alexandria, DC-VA-MD-WV",12,39
