"","MSA","min","max","perc"
"121","Miami-Fort Lauderdale-Pompano Beach, FL",1e+05,124999,0.0905694389109002
"122","Miami-Fort Lauderdale-Pompano Beach, FL",75000,99999,0.122604360717043
"123","Miami-Fort Lauderdale-Pompano Beach, FL",20000,24999,0.0426937201703431
"124","Miami-Fort Lauderdale-Pompano Beach, FL",150000,199999,0.065520005514517
"125","Miami-Fort Lauderdale-Pompano Beach, FL",45000,49999,0.0376569545559578
"126","Miami-Fort Lauderdale-Pompano Beach, FL",25000,29999,0.0430435798579665
"127","Miami-Fort Lauderdale-Pompano Beach, FL",10000,14999,0.0414872028089354
"128","Miami-Fort Lauderdale-Pompano Beach, FL",15000,19999,0.0404783756799395
"129","New York-Newark-Jersey City, NY-NJ-PA",10000,14999,0.0390103025436531
"130","New York-Newark-Jersey City, NY-NJ-PA",150000,199999,0.10066428950556
"131","New York-Newark-Jersey City, NY-NJ-PA",1e+05,124999,0.0926485839106115
"132","New York-Newark-Jersey City, NY-NJ-PA",2e+05,5e+05,0.171229908678906
"133","New York-Newark-Jersey City, NY-NJ-PA",35000,39999,0.0283643861344366
"134","New York-Newark-Jersey City, NY-NJ-PA",30000,34999,0.0310393728649782
"135","New York-Newark-Jersey City, NY-NJ-PA",75000,99999,0.112583257345836
"136","New York-Newark-Jersey City, NY-NJ-PA",20000,24999,0.0316601113273541
"137","New York-Newark-Jersey City, NY-NJ-PA",125000,149999,0.0707678593301305
"138","New York-Newark-Jersey City, NY-NJ-PA",15000,19999,0.0325801271146073
"139","New York-Newark-Jersey City, NY-NJ-PA",25000,29999,0.0304489840358207
"140","New York-Newark-Jersey City, NY-NJ-PA",0,10000,0.0659094682689821
"141","New York-Newark-Jersey City, NY-NJ-PA",50000,59999,0.0561092586795868
"142","New York-Newark-Jersey City, NY-NJ-PA",40000,44999,0.0303267689208868
"143","New York-Newark-Jersey City, NY-NJ-PA",45000,49999,0.0276183023258979
"144","New York-Newark-Jersey City, NY-NJ-PA",60000,74999,0.0790390190127523
"145","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",60000,74999,0.0861610205709027
